,molecule_chembl_id,IC50,units,smiles,pIC50
13,CHEMBL398551,0.6,nM,Cc1cc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)nn1C.[Na+],9.221848749616356
14,CHEMBL250749,0.7,nM,COCc1ccc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)cc1.[Na+],9.154901959985743
15,CHEMBL400747,0.7,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccc(F)cc2)c1C(=O)Nc1cccc(O)c1.[Na+],9.154901959985743
16,CHEMBL249724,0.8,nM,COc1ccc(CNC(=O)c2c(-c3ccccc3)c(-c3ccc(F)cc3)c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])n2C(C)C)cc1.[Na+],9.096910013008056
17,CHEMBL399313,0.8,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccccc1.[Na+],9.096910013008056
18,CHEMBL398240,0.8,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1ccccn1.[Na+],9.096910013008056
19,CHEMBL2375156,0.83,nM,Cc1c(/C=C/[C@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)cn1-c1ccccc1.[Na+],9.080921907623926
20,CHEMBL3985556,1.0,nM,CC(C)c1nc(N(C)S(C)(=O)=O)nc(-c2ccc(F)cc2)c1/C=C/[C@H]1C[C@H](O)CC(Oc2c(F)cc(F)cc2F)O1,9.0
21,CHEMBL3963593,1.0,nM,CC(C)OC1C[C@@H](OCc2ccccc2)C[C@H](/C=C/c2c(-c3ccc(F)cc3)nc(N(C)S(C)(=O)=O)nc2C(C)C)O1,9.0
22,CHEMBL249906,1.2,nM,CC(C)n1c(CC[C@@H](O)C[C@@H](O)CC(=O)[O-])c(-c2ccc(F)cc2)c(-c2ccccc2)c1C(=O)NCc1cccc(C(N)=O)c1.[Na+],8.920818753952375
